"f (Hz)"	"G_exp (S)"	"G_mod (S)"	"B_exp (S)"	"B_mod (S)"	"R_exp (Ohm)"	"R_mod (Ohm)"	"X_exp (Ohm)"	"X_mod (Ohm)"
1.1530e+05	2.4000e-05	2.1911e-05	4.2200e-04	4.2045e-04	1.3433e+02	1.2361e+02	-2.3620e+03	-2.3720e+03	
1.1540e+05	2.4400e-05	2.2096e-05	4.2300e-04	4.2190e-04	1.3591e+02	1.2380e+02	-2.3562e+03	-2.3638e+03	
1.1550e+05	2.5000e-05	2.2285e-05	4.2400e-04	4.2336e-04	1.3858e+02	1.2399e+02	-2.3503e+03	-2.3555e+03	
1.1560e+05	2.5800e-05	2.2479e-05	4.2400e-04	4.2485e-04	1.4298e+02	1.2419e+02	-2.3498e+03	-2.3472e+03	
1.1570e+05	2.6600e-05	2.2676e-05	4.2400e-04	4.2635e-04	1.4738e+02	1.2439e+02	-2.3492e+03	-2.3389e+03	
1.1580e+05	2.7400e-05	2.2878e-05	4.2400e-04	4.2788e-04	1.5178e+02	1.2460e+02	-2.3487e+03	-2.3305e+03	
1.1590e+05	2.7900e-05	2.3084e-05	4.2400e-04	4.2942e-04	1.5452e+02	1.2482e+02	-2.3483e+03	-2.3220e+03	
1.1600e+05	2.8400e-05	2.3294e-05	4.2500e-04	4.3099e-04	1.5653e+02	1.2504e+02	-2.3425e+03	-2.3135e+03	
1.1610e+05	2.8900e-05	2.3509e-05	4.2600e-04	4.3258e-04	1.5852e+02	1.2526e+02	-2.3367e+03	-2.3049e+03	
1.1620e+05	2.9400e-05	2.3729e-05	4.2600e-04	4.3419e-04	1.6124e+02	1.2550e+02	-2.3363e+03	-2.2963e+03	
1.1630e+05	2.9700e-05	2.3954e-05	4.2700e-04	4.3582e-04	1.6211e+02	1.2573e+02	-2.3306e+03	-2.2876e+03	
1.1640e+05	2.9400e-05	2.4185e-05	4.2800e-04	4.3748e-04	1.5974e+02	1.2598e+02	-2.3255e+03	-2.2788e+03	
1.1650e+05	2.9200e-05	2.4420e-05	4.3000e-04	4.3916e-04	1.5720e+02	1.2623e+02	-2.3149e+03	-2.2700e+03	
1.1660e+05	2.8900e-05	2.4661e-05	4.3100e-04	4.4087e-04	1.5488e+02	1.2649e+02	-2.3098e+03	-2.2612e+03	
1.1670e+05	2.8600e-05	2.4908e-05	4.3300e-04	4.4260e-04	1.5188e+02	1.2675e+02	-2.2994e+03	-2.2522e+03	
1.1680e+05	2.8400e-05	2.5161e-05	4.3500e-04	4.4436e-04	1.4945e+02	1.2702e+02	-2.2891e+03	-2.2432e+03	
1.1690e+05	2.8100e-05	2.5419e-05	4.3600e-04	4.4614e-04	1.4721e+02	1.2729e+02	-2.2841e+03	-2.2342e+03	
1.1700e+05	2.7900e-05	2.5684e-05	4.3900e-04	4.4795e-04	1.4419e+02	1.2758e+02	-2.2687e+03	-2.2251e+03	
1.1710e+05	2.7600e-05	2.5956e-05	4.4100e-04	4.4979e-04	1.4136e+02	1.2787e+02	-2.2587e+03	-2.2159e+03	
1.1720e+05	2.7500e-05	2.6234e-05	4.4300e-04	4.5166e-04	1.3959e+02	1.2817e+02	-2.2487e+03	-2.2066e+03	
1.1730e+05	2.7500e-05	2.6520e-05	4.4600e-04	4.5356e-04	1.3773e+02	1.2847e+02	-2.2337e+03	-2.1973e+03	
