"f (Hz)"	"G (S)"	"B (S)"
1.334e+05	4.97e-05	-7.10e-05
1.335e+05	4.84e-05	-6.39e-05
1.336e+05	4.74e-05	-5.61e-05
1.337e+05	4.61e-05	-4.85e-05
1.338e+05	4.43e-05	-4.12e-05
1.339e+05	4.47e-05	-3.46e-05
1.340e+05	4.41e-05	-2.84e-05
1.341e+05	4.24e-05	-2.27e-05
1.342e+05	4.24e-05	-1.51e-05
1.343e+05	4.21e-05	-8.24e-06
1.344e+05	4.08e-05	-1.40e-06
1.345e+05	3.72e-05	6.17e-06
1.346e+05	3.50e-05	1.10e-05
1.347e+05	3.31e-05	1.58e-05
1.348e+05	3.10e-05	1.93e-05
1.349e+05	2.99e-05	2.28e-05
1.350e+05	2.98e-05	2.61e-05
1.351e+05	2.94e-05	3.06e-05
1.352e+05	2.90e-05	3.54e-05
1.353e+05	2.88e-05	3.92e-05
1.354e+05	2.83e-05	4.27e-05
1.355e+05	2.76e-05	4.64e-05
1.356e+05	2.68e-05	5.01e-05
1.357e+05	2.60e-05	5.38e-05
1.358e+05	2.53e-05	5.77e-05
1.359e+05	2.47e-05	6.12e-05
1.360e+05	2.39e-05	6.44e-05
1.361e+05	2.33e-05	6.75e-05
1.362e+05	2.26e-05	7.06e-05
1.363e+05	2.16e-05	7.40e-05
1.364e+05	2.06e-05	7.73e-05
1.365e+05	2.06e-05	8.02e-05
1.366e+05	2.06e-05	8.34e-05
1.367e+05	2.04e-05	8.63e-05
1.368e+05	2.01e-05	8.89e-05
1.369e+05	1.98e-05	9.17e-05
1.370e+05	1.94e-05	9.43e-05
1.371e+05	1.89e-05	9.66e-05
1.372e+05	1.85e-05	9.89e-05
1.373e+05	1.81e-05	1.01e-04
1.374e+05	1.77e-05	1.04e-04
1.375e+05	1.75e-05	1.06e-04
1.376e+05	1.74e-05	1.09e-04
1.377e+05	1.72e-05	1.11e-04
1.378e+05	1.71e-05	1.14e-04
1.379e+05	1.68e-05	1.16e-04
1.380e+05	1.64e-05	1.18e-04
1.381e+05	1.60e-05	1.20e-04
1.382e+05	1.57e-05	1.22e-04
1.383e+05	1.55e-05	1.23e-04
1.384e+05	1.53e-05	1.25e-04
1.385e+05	1.52e-05	1.27e-04
1.386e+05	1.50e-05	1.29e-04
1.387e+05	1.48e-05	1.31e-04
1.388e+05	1.45e-05	1.32e-04
1.389e+05	1.43e-05	1.34e-04
1.390e+05	1.41e-05	1.36e-04
1.391e+05	1.39e-05	1.38e-04
1.392e+05	1.37e-05	1.40e-04
1.393e+05	1.35e-05	1.41e-04
1.394e+05	1.33e-05	1.43e-04
1.395e+05	1.31e-05	1.45e-04
1.396e+05	1.31e-05	1.46e-04
1.397e+05	1.30e-05	1.48e-04
1.398e+05	1.29e-05	1.49e-04
1.399e+05	1.28e-05	1.51e-04
1.400e+05	1.27e-05	1.53e-04
